Category,Sub-Category,Item,Specification,Quantity,Unit Cost (INR),Total Cost (INR),Cost Type,Budget Code,Justification
HARDWARE,Development Infrastructure,High-Performance Workstation,"Intel Xeon W-2295 (18-core), 128GB RAM, NVIDIA RTX A5000 (24GB), 2TB NVMe SSD",2,450000,900000,B,HW-DEV-001,Required for simultaneous development and model training
HARDWARE,Development Infrastructure,GPU Server for FL Training,"Dual AMD EPYC 7763, 512GB RAM, 4x NVIDIA A100 (40GB), 8TB NVMe",1,2800000,2800000,B,HW-DEV-002,Core infrastructure for federated learning simulation with 4 hospital nodes
HARDWARE,Development Infrastructure,Development Laptops,"Dell Precision 7560 (i9, 64GB RAM, RTX A3000)",4,220000,880000,B,HW-DEV-003,Mobility for remote work and conference presentations
HARDWARE,Development Infrastructure,OCR Testing Scanner,Epson WorkForce Pro ES-500W (Medical Grade),2,35000,70000,B,HW-DEV-004,Scanning medical reports for OCR testing
HARDWARE,Storage,Network Storage (NAS),"Synology RS3621xs+ (12-bay, 192TB capacity)",1,650000,650000,B,HW-STOR-001,Centralized storage for medical reports and datasets
HARDWARE,Storage,Backup System,External RAID Array (48TB),2,180000,360000,B,HW-STOR-002,Data backup and disaster recovery
HARDWARE,Testing Equipment,Testing Tablets,iPad Pro 12.9" (for food image capture),3,120000,360000,B,HW-TEST-001,Food image capture and mobile testing
HARDWARE,Network,Network Equipment,"10Gbps Switch, Router, Firewall",1,250000,250000,B,HW-NET-001,High-speed networking for data transfer
HARDWARE,Power,UPS Systems,Online UPS 10KVA,2,180000,360000,B,HW-POW-001,Uninterrupted power supply for critical systems

SOFTWARE,Development Tools,PyCharm Professional,Python IDE (5 licenses),5,10000,50000,A,SW-IDE-001,Professional Python development environment
SOFTWARE,Development Tools,Visual Studio Enterprise,Development IDE (3 licenses),3,100000,300000,A,SW-IDE-002,Enterprise development tools
SOFTWARE,Development Tools,MATLAB + Deep Learning Toolbox,Algorithm prototyping (3 licenses),3,200000,600000,A,SW-ALG-001,Rapid prototyping and algorithm development
SOFTWARE,Design,Adobe Creative Cloud,UI/UX design (2 licenses),2,36000,72000,A,SW-DES-001,Professional design tools for UI/UX
SOFTWARE,Analytics,Tableau Desktop,Data visualization (2 licenses),2,90000,180000,A,SW-VIZ-001,Data visualization and analytics
SOFTWARE,Infrastructure,Docker Enterprise,Containerization,1,240000,240000,A,SW-INF-001,Container orchestration for deployment
SOFTWARE,DevOps,GitLab Ultimate,"Version control & CI/CD (10 users)",10,20000,200000,A,SW-DEV-001,Enterprise version control and CI/CD
SOFTWARE,Development Tools,JetBrains All Products,Development tools (5 licenses),5,30000,150000,A,SW-IDE-003,Comprehensive development toolkit

CLOUD,Compute,AWS EC2 (p3.8xlarge),Model training instances,12 months,320000,3840000,A,CLD-COM-001,GPU compute for federated learning training
CLOUD,Storage,AWS S3 + CloudFront,Data storage & CDN,12 months,80000,960000,A,CLD-STR-001,Object storage and content delivery
